COMPANY NAME,YEAR,SCOPE 1,SCOPE 2 (location-based),SCOPE 2 (market-based),SCOPE 3,TOTAL EMISSIONS,TOTAL REVENUE (million $),CURRENCY,CARBON INTENSITY,COUNTRY OF ORIGIN,SUBMIT TO CDP,GROWTH RATE,SECTOR,REVENUE IN USD,Adjusted CI
Amazon,2020,9620000.0,5270000.0,5270000.0,45750000.0,60640000.0,386064.0,USD,38.57,United States,False,37.62,Tech,386064.0,38.57
Amazon,2021,12110000.0,4070000.0,4070000.0,55360000.0,71540000.0,469822.0,USD,34.44,United States,False,21.7,Tech,469822.0,34.44
Amazon,2022,13400000.0,2890000.0,2892186.0,54977815.0,71270000.0,513983.0,USD,31.69,United States,False,9.4,Tech,513983.0,31.69
Apple,2018,57440.0,8730.0,8730.0,25070000.0,25136170.0,265595.0,USD,0.25,United States,True,,Tech,265595.0,0.25
Apple,2019,52730.0,862127.0,0.0,24980000.0,25894857.0,260174.0,USD,3.52,United States,True,-2.04,Tech,260174.0,3.52
Apple,2020,47430.0,890200.0,0.0,22547000.0,23484630.0,274515.0,USD,3.42,United States,True,5.51,Tech,274515.0,3.42
Apple,2021,55200.0,890200.0,2780.0,23128400.0,24073800.0,365817.0,USD,2.58,United States,True,33.26,Tech,365817.0,2.58
Apple,2022,55202.0,1065405.0,3018.0,20550000.0,21673625.0,394328.0,USD,2.84,United States,True,7.79,Tech,394328.0,2.84
Meta,2018,42000.0,1241000.0,314000.0,652000.0,2249000.0,55838.0,USD,22.977,United States,False,,Tech,55838.0,22.98
Meta,2019,44000.0,1885000.0,208000.0,4078000.0,6215000.0,70697.0,USD,27.285,United States,False,26.61,Tech,70697.0,27.29
Meta,2020,29000.0,2718000.0,9000.0,5091000.0,7847000.0,85965.0,USD,31.955,United States,False,21.6,Tech,85965.0,31.95
Meta,2021,55173.0,3080194.0,2487.0,5651459.0,8789313.0,117929.0,USD,26.587,United States,True,37.18,Tech,117929.0,26.59
Meta,2022,66934.0,3921611.0,273.0,8466248.0,12455066.0,116609.0,USD,34.204,United States,True,-1.12,Tech,116609.0,34.2
Microsoft,2018,90723.0,3000523.0,183329.0,17834520.0,21109095.0,110360.0,USD,28.011,United States,True,,Tech,110360.0,28.01
Microsoft,2019,113412.0,3556553.0,275375.0,11322527.0,15267867.0,125843.0,USD,29.163,United States,True,14.03,Tech,125843.0,29.16
